"Address","Price","Beds","Baths","SQFT","Lat","Lon","Pets","Desc","Link","Scrape_Date","Scrape_Zip"
"300 Harrison Ave, Boston, MA 02118","3066","Studio","1","590","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","2890","Studio","1","589","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","2701","Studio","1","520","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","2516","Studio","1","546","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","2526","Studio","1","520","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","3485","1","1","709","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","3387","1","1","715","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","3410","1","1","716","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","3629","1","1","964","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
"300 Harrison Ave, Boston, MA 02118","3314","1","1","744","42.34595","-71.06189","Cats Allowed; Dogs Allowed","Ink Block offers you a service and amenity package like no other! A 24 hr concierge will serve your every need from package acceptance, to car detailing, apt cleaning to dry cleaning. In addition to exclusive direct covered access to Boston's newest Whole Foods Market, we will also offer grocery delivery right to your front door. You are going to love our skyline pool & outdoor entertainment lounge, our fully equipped fitness ctr with personalized digital training, complimentary WIFI in all common areas. The remarkable location will put you within walking distance to everything Boston's South End has to offer- from nightlife & galleries to parks & live music. The connected underground pkg, onsite Zip Car, Hubway bike station & immediate access to I90/I93 make getting around our city easy.",1,2018-11-09 14:59:31,1
